question,answer
What is Ring chromosome 21 syndrome.,"Ring chromosome 21 syndrome

Ring chromosome 21 syndrome is an autosomal anomaly characterized by variable clinical features, most commonly including growth retardation, developmental delay, intellectual disability, epilepsy, microcephaly, short stature, dysmorphic features, hypogammaglobulinemia, thrombocytopenia and unspecific skeletal anomalies (hemivertebrae, clinodactyly, syndactyly). In rare cases, it has been described in phenotypically normal individuals.

UMLS: C0265487

Age of onset: Antenatal, Neonatal"
What is Distal duplication 20q syndrome.,"Distal duplication 20q syndrome

Distal trisomy 20q is a rare chromosomal anomaly syndrome, resulting from the partial trisomy of the long arm of chromosome 20, with high phenotypic variability mostly characterized by neurodevelopmental delay, cardiac malformations (e.g. ventricular septal defect, coarctation of aorta) and facial dysmorphism (incl. large/high forehead, microphthalmia, upslanting palpebral fissures, epicanthus, large, long, low-set ears, anteverted nares, protruding upper lip, cleft lip/palate, micro/retrognathia, dimpled chin). Skeletal (brachydactyly, scoliosis, pectus excavatum) and cerebral anomalies have also been reported.

UMLS: C4706935

Age of onset: Antenatal, Neonatal"
What is Multiple system atrophy.,"Multiple system atrophy

Multiple system atrophy (MSA) is a neurodegenerative disorder characterized by autonomic failure (cardiovascular and/or urinary), parkinsonism, cerebellar impairment and corticospinal signs with a median survival of 6-9 years.

UMLS: C0393571

Age of onset: Adult

MSA is an adult-onset disorder (>30 years, mean age 55-60 years). Clinical manifestations include autonomic failure (orthostatic hypotension, syncope, respiratory disturbances (sleep apnea, stridor and inspiratory sighs), constipation, bladder dysfunction (early urinary incontinence), erectile dysfunction in males and Raynaud syndrome). In some cases, pyramidal signs (generalized hyperreflexia and positive Babinski sign) are observed. MSA-p, a form of MSA with predominant parkinsonian features, comprises bradykinesia, rigidity, irregular jerky postural tremor and abnormal postures (camptocormia, Pisa syndrome and disproportionate antecollis). Patients with MSA-p may develop levodopa-induced orofacial and craniocervical dystonia. Classic pill-rolling rest tremor is uncommon. MSA-c is a form of MSA with predominant cerebellar features such as gait and limb ataxia, oculomotor dysfunction and dysarthria. The predominant motor feature can change with time and patients with cerebellar ataxia can develop increasingly severe parkinsonian features which dominate the clinical presentation. Neuropsychiatric features, oculomotor dysfunction and sleep disturbances are also observed in MSA and include apathy, anxiety, depression, rapid eye movement sleep behavior disorder and periodic limb movements in sleep.

Diagnosis of ''probable'' MSA requires presence of parkinsonism with poor levodopa response or cerebellar signs together with severe autonomic failure (otherwise unexplained urinary incontinence or an orthostatic decrease of blood pressure within 3 min of standing by at least 30 mm Hg systolic or 15 mm Hg diastolic). MRI findings include atrophy of putamen and middle cerebellar peduncles, as well as putaminal and cerebellar hypometabolism on [18F]-fluorodeoxyglucose positron emission tomography. ''Definite'' MSA requires post-mortem demonstration of α-synuclein positive glial cytoplasmic inclusions with neurodegeneration of striatonigral and olivopontocerebellar structures.

Differential diagnosis of MSA-p includes Parkinson's disease and other atypical parkinsonian disorders (progressive supranuclear palsy, corticobasal syndrome). Differential diagnosis of MSA-c includes dominantly inherited spinocerebellar ataxias (SCAs 1, 2, 3, 6, and 7), fragile X-associated tremor/ataxia syndrome (FXTAS) and mitochondriopathies (POLG1 gene mutations).

Prevalence ranges from 1/50,000-1/20,000. MSA-parkinsonian type (MSA-p) predominates in the Western Hemisphere and MSA-cerebellar type (MSA-c) predominates in the Eastern Hemisphere. Genders are equally distributed.

Etiology of MSA is unknown but presence of cytoplasmic aggregates of α-synuclein, primarily in oligodendroglia, in combination with neurodegeneration in striatonigral and olivopontocerebellar structures are the pathological hallmark features. Mutations in COQ2 (4q21.23) (encoding an enzyme involved in biosynthesis of coenzyme Q10) have been shown in multiplex families with MSA, while some variants were associated with an increased risk for sporadic MSA.

MSA occurs sporadically. However, some familial cases have been described.

Therapy mainly targets parkinsonism and autonomic failure. Levodopa may transiently improve parkinsonism (20-30% of patients). No effective neuroprotective therapy is available.

MSA is rapidly progressive and is associated with wheelchair dependence, unintelligible speech, intermittent urinary catheterization, disabling orthostatic hypotension, and cognitive impairment (executive dysfunction). Disease progression is assessed using the unified MSA rating scale (UMSARS), which rates activities of daily life, autonomic and motor impairment, as well as overall disability. Prognosis is poor with a median survival of 6-9 years."
What is Isolated Pierre Robin sequence.,"Isolated Pierre Robin sequence

A rare, congenital head and neck malformation characterized by the association of retrognathia and glossoptosis, with or without cleft palate, and respiratory obstruction.

UMLS: C0031900

Age of onset: Antenatal, Neonatal

Prenatal diagnosis is possible if the retrognathia is detected on the strict profile of the fetus at ultrasound. Several angle measures may help discern retrognathia, leading to screening of the cleft palate and the tongue position (posterior and high-up in the oral cavity). An excess of amniotic fluid is a good diagnostic indicator.

.Isolated Pierre Robin sequence (PRS), occurring without any other associated malformation, constitutes about 50% of cases presenting with these orofacial malformations. At birth and during the first weeks of life, the main troubles are functional and include upper airway obstruction, difficulties in respiration, poor sucking and swallowing, reflux, oesophageal motor anomalies, and vagal syncope.

Pierre-Robin sequence is usually diagnosed at birth based on clinical presentation. It is more and more often evoked during prenatal life.

PRS often occurs as part of a complex malformation syndrome. The nature of these anomalies is heterogeneous but they are most commonly collagenopathies, first arch anomalies, various chromosomal disorders (including microdeletion 22q11), phenocopy syndromes associated with toxic agents (alcohol, sodium valproate) and other more complicated associations.

The prevalence of this syndrome has been estimated at 1 in 10 000 births. However, precise values are difficult to obtain because historically the definition varied and studies often included cases which occurred as part of a recognised syndrome.

This condition is referred to as a sequence because the posterior cleft palate is a secondary defect associated with abnormal mandibular development and glossoptosis. Mandibular hypoplasia, occurring early in gestation, causes the tongue to be maintained high-up in the oral cavity, preventing normal fusion of the palatal shelves (secondary palate). The mandibular growth defect can be either the consequence of antenatal orofacial hypomobility (usually related to a brainstem dysfunction, or from peripheral origin), or the consequence of a primary growth defect from tissue origin (bone, connective tissue). Molecular identification of isolated PRS is rare. Only mutations in regulatory elements upstream from SOX9 were identified in families with PRS.

The majority of cases occur sporadically; however, approximately 10% cases are familial (mainly dominant). Genetic counselling is subtle and should be offered to all families, even in the event of sporadic cases, by expert teams.

Most of the time, respiratory and feeding problems resolves during the first year of life. The growth of the mandible leads to correction of retrognathia and tongue position within the first years. In cases of mandibulofacial dysostosis, surgery of the mandible may be necessary. The cleft palate is corrected by surgical intervention (one or two steps) before the age of one year. However, the persistent risk of otitis, transmission hearing loss and phonation difficulties necessitate follow-up by an ear, nose and throat specialist, and speech therapist.

For patients with isolated PRS, the prognosis is very favourable."
What is Gaucher disease type 3.,"Gaucher disease type 3

Gaucher disease type 3 is the subacute neurological form of Gaucher disease (GD) characterized by progressive encephalopathy and associated with the systemic manifestations (organomegaly, bone involvement, cytopenia) of GD type 1.

UMLS: C0268251

Age of onset: All ages

The clinical presentation is very heterogeneous. Neurological disease appears in childhood or adolescence, a much later onset than in GD type 2. Encephalopathy can be the presenting sign of the disease or may occur later in the disease course. Some patients have moderate systemic involvement associated with ophthalmoplegia as the only neurological symptom. For the more severe forms, the neurological signs encountered are variable: supranuclear horizontal ophthalmoplegia, progressive myoclonic epilepsy, cerebellar ataxia, spasticity and dementia. GD type 3 is also associated with the clinical and biological signs of ''systemic'' disease, such as frequent asthenia, growth retardation or delayed puberty, splenomegaly and hepatomegaly. Bone anomalies may also be present and manifest as deformations, osteopenia, which sometimes leads to pathological fractures or vertebral compression, bone infarctions or even aseptic osteonecrosis. Involvement of other organs (rarely symptomatic pulmonary, renal and cardiac) is less common. Pancytopenia is frequent and involves varying degrees of thrombocytopenia (sometimes severe), anemia and, less frequently, leukoneutropenia. Polyclonal hypergammaglobulinemia is often present and is sometimes complicated by monoclonal gammapathy.

Diagnostic methods involve ultrasound and magnetic resonance imaging (MRI) for initial evaluation and subsequent monitoring of hepatosplenomegaly, radiography and bone scintigraphy to detect bone lesions and complications, osteodensitometry for the evaluation of osteopenia of the lumbar spine and femoral neck, and cardiac ultrasound for the detection of pulmonary arterial hypertension. An increase in certain biological markers that are important both for the initial diagnosis and monitoring with or without treatment, is also observed: chitotriosidase, an angiotensin converting enzyme, ferritin and tartrate-resistant acid phosphatases. Diagnosis can be confirmed by demonstrating a deficit in the enzymatic activity of glucocerebrosidase in circulating leukocytes. In rare cases, genotyping may be of prognostic value: a patient with a homozygous L444P mutation in the GBA gene has a very high risk of developing neurological disease.

The annual incidence of GD is about 1/60,000 and the prevalence is approximately 1/100,000. GD type 3 accounts for 5% of all patients with GD.

GD type 3 is a lysosomal storage disease caused by a mutation in the GBA gene (1q21) that codes for the lysosomal enzyme, glucocerebrosidase. The deficiency in glucocerebrosidase leads to the accumulation of glucosylceramidase (or beta-glucocerebrosidase) deposits in the cells of the reticuloendothelial system of the liver, spleen and the bone marrow (Gaucher cells).

Transmission is autosomal recessive.

The treatment for patients with GD type 3 exhibiting clinically significant non neurological manifestations is enzyme substitution therapy (imiglucerase with marketing authorization (MA) since 1997). It appears to slow progression of the neurological symptoms and is effective against the systemic manifestations.

In the absence of treatment, clinical progression leads to death within a few years."
What is La Crosse encephalitis.,"La Crosse encephalitis

An acute arboviral infection caused by the La Crosse bunyavirus transmitted by an infected mosquito, usually observed in infants, children or adolescents (6 months to 16 years), and characterized by the onset of flulike symptoms such as fever, chills, nausea, vomiting, headache, and abdominal pain, followed by the onset of encephalitis characterized by somnolence, obtundation, and even seizures, focal neurologic signs (asymmetrical reflexes or Babinski signs), paralysis or even coma. CE can leave sequelae such as residual epilepsy and neurocognitive deficits.

UMLS: C0276379

Age of onset: All ages"
What is Tungiasis.,"Tungiasis

Tungiasis is a parasitic skin disease caused by the female sand flea Tunga penetrans. The disease is characterized by acute (multiple white, gray, or yellowish papular or nodular lesions with brown-black-colored opening at the center and peripheral erythema) and chronic inflammation in the feet with itchy/ painful lesions. Bacterial superinfection is common and result in debilitating clinical pathology (deep ulcers, gangrene, lymphangitis and septicemia), leading to impaired physical fitness and mobility. Tungiasis also involves hyperkeratosis, fissuration, nail hypertrophy, and loss of nails.

UMLS: C0277356

Age of onset: All ages"
What is Diffuse palmoplantar keratoderma-acrocyanosis syndrome.,"Diffuse palmoplantar keratoderma-acrocyanosis syndrome

Diffuse palmoplantar keratoderma-acrocyanosis syndrome is characterised by the association of diffuse palmoplantar keratoderma and acrocyanosis. It has been described in eight members of one family and in two sporadic cases. The mode of inheritance in the familial cases was autosomal dominant.

UMLS: C4303588

Age of onset: Infancy, Neonatal"
What is T-B+ severe combined immunodeficiency due to gamma chain deficiency.,"T-B+ severe combined immunodeficiency due to gamma chain deficiency

Severe combined immunodeficiency (SCID) due to gamma chain deficiency, also called SCID-X1, is a form of SCID characterized by severe and recurrent infections, associated with diarrhea and failure to thrive.

UMLS: C4707334

Age of onset: Neonatal

SCID-X1 manifests during the first months of life with severe and often life threatening viral, bacterial or fungal infections (e.g. Pneumocystis jiroveci pneumonitis, disseminated BCG infection if previously vaccinated), and failure to thrive. Chronic diarrhea is a frequent finding. Some patients may have skin rashes and abnormalities of liver function. Materno-fetal transfusion-associated graft versus host disease is also associated with the disease. Immunological findings are lymphopenia with the absence of T and NK cells, hypogammaglobulinemia, and normal or increased B cell count.

It accounts for approximately 50% of SCID cases and is the most common form of SCID in Europe. The annual incidence varies among the populations but it is estimated at approximately 1/200,000 births. The disease occurs in males.

SCID-X1 results from a defect in the IL2RG gene encoding the common gamma chain.

Transmission is X-linked."
What is Congenital factor II deficiency.,"Congenital factor II deficiency

A rare inherited bleeding disorder due to reduced activity of factor II (FII, prothrombin) and characterized by mucocutaneous and soft tissue bleeding symptoms.

UMLS: C0272317

Age of onset: All ages

Prenatal diagnosis is available for the most severe forms.

Congenital FII deficiency can manifest at any age, with severe forms of the disease manifesting early in life. Common clinical signs include epistaxis, menorrhagia, oral cavity bleedings, mucosal bleeding, soft tissue bleeding, hemarthrosis, easy bruising, and prolonged bleeding after tooth extraction, trauma or surgery. Severe forms may present intracranial hemorrhage. The severity of the bleeding manifestations correlates with the FII levels. Thromboembolic manifestations have been described in case of dysprothrombinemia.

Diagnosis is based on prolonged prothrombin and activated partial thromboplastin times (PT, aPTT) and on low FII coagulant activity measured using a PT based assay. Molecular testing is available, but is unnecessary for diagnosis.

Differential diagnoses include deficiencies of factors V, VII, X, VIII, IX, XI, XIII or acquired deficiencies in FII (lupus anticoagulant).

Factor II deficiency is the most rare coagulation factor deficiency. Prevalence of homozygous forms is estimated at 1/2,000,000. Both sexes are equally affected.

Inherited FII deficiency is caused by mutations in the F2 gene (11p11-q12) encoding prothrombin.

Transmission is autosomal recessive. Genetic counseling should be offered to at-risk couples (both individuals are carriers of a disease-causing mutation) informing them of the 25% risk of having an affected child at each pregnancy.

Prothrombin Complex Concentrates (PCCs) or fresh frozen plasma (if PCCs are not available) are usually used to treat hemorrhagic episodes.

Prognosis is good with early diagnosis and adequate treatment."
